"ID","game_date","team_abb_home","team_abb_away","pts_home","fgm_home","fga_home","fg_pct_home","fg3m_home","fg3a_home","fg3_pct_home","ftm_home","fta_home","ft_pct_home","dreb_home","oreb_home","reb_home","ast_home","stl_home","blk_home","tov_home","pf_home","pts_2nd_chance_home","pts_in_paint_home","fgm_away","fga_away","fg_pct_away","fg3m_away","fg3a_away","fg3_pct_away","ftm_away","fta_away","oreb_away","dreb_away","reb_away","ast_away","stl_away","blk_away","tov_away","pf_away","pts_away","pts_2nd_chance_away","ft_pct_away","pts_paint_away","wl_home","game_id"
"[411826,659807178]","","BOS","PHI",126,46,82,0.561,12,35,0.34299999999999997,22,28,0.34299999999999997,30,6,36,24,8,3,11,24,,,40,80,0.7859999999999999,13,34,0.382,24,28,4,27,31,16,8,3,14,25,117,,0.382,,"w",11050
"[411826,659807180]","","GSW","LAL",123,45,99,0.455,16,45,0.35600000000000004,17,23,0.35600000000000004,37,11,48,31,11,3,18,23,,,40,93,0.7390000000000001,10,40,0.25,19,25,8,39,47,23,12,4,22,18,109,,0.25,,"w",11051
"[411826,659807182]","","DET","ORL",113,40,94,0.426,14,38,0.368,19,24,0.368,29,12,41,31,11,4,13,21,,,42,86,0.792,11,30,0.36700000000000005,14,19,10,38,48,21,5,5,18,24,109,,0.36700000000000005,,"w",11052
"[411826,659807184]","","IND","WAS",107,39,97,0.402,15,42,0.35700000000000004,14,21,0.35700000000000004,30,12,42,21,7,5,15,20,,,42,91,0.667,11,31,0.355,19,24,13,39,52,21,5,10,17,19,114,,0.355,,"l",11053
"[411826,659807186]","","ATL","HOU",117,45,90,0.5,7,25,0.28,20,24,0.28,34,4,38,30,12,5,9,18,,,42,98,0.833,9,35,0.257,14,15,15,39,54,25,4,3,16,20,107,,0.257,,"w",11054
"[411826,659807188]","","BKN","NOP",108,40,89,0.449,10,33,0.303,18,24,0.303,30,9,39,22,10,10,16,25,,,50,102,0.75,12,26,0.462,18,25,21,40,61,31,9,4,13,21,130,,0.462,,"l",11055
"[411826,659807193]","","MIA","CHI",108,37,80,0.46299999999999997,12,28,0.429,22,28,0.429,38,8,46,21,6,2,19,24,,,41,93,0.7859999999999999,13,36,0.361,21,28,12,34,46,23,12,6,15,26,116,,0.361,,"l",11056
"[411826,659807195]","","TOR","CLE",108,36,86,0.419,13,30,0.433,23,32,0.433,29,12,41,19,15,4,13,23,,,38,77,0.7190000000000001,10,28,0.35700000000000004,19,23,6,32,38,25,5,5,17,21,105,,0.35700000000000004,,"w",11057
"[411826,659807200]","","MEM","NYK",115,42,108,0.389,17,50,0.34,14,23,0.34,44,20,64,27,6,7,14,17,,,44,109,0.609,9,37,0.243,15,18,18,36,54,28,7,5,12,26,112,,0.243,,"w",11058
"[411826,659807206]","","MIN","OKC",115,39,94,0.415,10,38,0.263,27,33,0.263,41,14,55,25,6,5,14,21,,,38,99,0.818,14,45,0.311,18,22,16,41,57,22,6,6,14,26,108,,0.311,,"w",11059
